Alabama, 58167
Alaska, 11446
Arizona, 85600
Arkansas, 37832
California, 494705
Colorado, 65007
Connecticut, 36085
Delaware, 10831
District of Columbia, 9288
Florida, 215407
Georgia, 128748
Hawaii, 18987
Idaho, 22383
Illinois, 156931
Indiana, 83102
Iowa, 39094
Kansas, 38839
Kentucky, 55686
Louisiana, 63201
Maine, 12776
Maryland, 71953
Massachusetts,71788
Michigan,113,489
Minnesota,69159
Mississippi,38634
Missouri,75296
Montana,12377
Nebraska,26095
Nevada,35030
New Hampshire,12396
New Jersey,102575
New Mexico,26354
New York, 236980
North Carolina,119002
North Dakota,10599
Ohio, 138936
Oklahoma,53369
Oregon,45155
Pennsylvania,140921
Rhode Island,10809
South Carolina,56795
South Dakota,12248
Tennessee,79992
Texas,387340
Utah,50957
Vermont,5975
Virginia,102147
Washington,86577
West Virginia, 20825
Wisconsin,66649
Wyoming,7644